Institution Name,Location,2025 Rank,2024 Rank,QS Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,pca_1,pca_2
Norwegian University of Science And Technology,NO,264,292,39.1,33.2,25.2,22.3,30.4,75.1,9.3,94.4,89.4,85.8,2.7239698463853284,-0.41673641113124954
UCSI University,MY,265,300,38.8,27.0,65.1,78.1,3.6,89.1,95.8,37.6,10.2,27.9,1.8995961929835523,1.1685334527307967
Universitat Pompeu Fabra (Barcelona),ES,265,310,38.8,31.7,29.4,12.1,67.1,75.6,24.5,74.0,16.4,27.9,1.3742826457827693,0.9700900960087043
University of Antwerp,BE,267,248,38.7,24.1,11.3,37.5,48.1,94.4,32.0,94.6,44.8,74.8,2.3292583713800648,1.1863869525529904
University of Witwatersrand,ZA,267,264,38.7,26.5,42.1,8.9,30.5,75.1,5.8,96.8,98.9,84.8,2.880088393471737,-0.6627982265494389
Sun Yat-sen University,CN,331,323,33.7,31.8,28.8,46.4,49.5,2.2,3.6,77.4,21.4,15.9,0.4753905853715723,-1.0287830257528165
Universiti Teknologi PETRONAS (UTP),MY,269,307,38.6,19.5,28.1,38.5,79.0,83.9,20.1,63.9,4.1,18.4,1.066653808279394,1.2168611198973975
Harbin Institute of Technology,CN,252,256,40.3,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,0.7565008613317954,-0.46325420029900255
Radboud University ,NL,272,222,38.4,28.0,14.1,27.0,66.0,81.3,18.6,93.9,19.6,39.8,1.561493981484715,1.1203099341398701
University College Cork,IE,273,292,38.3,30.1,35.1,22.1,28.5,89.0,52.1,69.1,34.0,91.0,2.434067449563623,1.1311074172830065
University of Galway,IE,273,289,38.3,26.2,30.3,63.2,13.2,95.2,43.2,81.3,46.6,85.9,2.5833329791230932,0.6688400555855781
Dalhousie University,CA,275,298,38.2,19.4,16.7,12.9,53.5,99.9,74.6,77.4,30.1,87.9,2.474897938785604,2.387348975108615
University of Massachusetts Amherst,US,275,245,38.2,38.2,17.2,10.0,48.8,61.0,25.3,79.8,30.6,83.4,1.9163101688915334,0.6113251479536647
University of Pittsburgh,US,275,222,38.2,35.0,12.7,96.3,31.3,9.5,13.5,91.7,42.6,53.5,1.4667896508219178,-1.2249568280076
